03-30-2023 16:37:46 RAM 4804/30623MB (lfb 5992x4MB) SWAP 0/15311MB (cached 0MB) CPU [100%@2195,100%@2196,100%@2197,100%@2199,100%@2197,100%@2197,100%@2200,100%@2162,99%@2231,100%@2197,100%@2197,100%@2136] EMC_FREQ 0%@2133 GR3D_FREQ 0%@114 GR3D2_FREQ 0%@114 NVJPG1 729 VIC_FREQ 729 APE 233 CV0@-256C CPU@53.25C Tdiode@39.5C SOC2@47.937C SOC0@47.343C CV1@-256C GPU@45.531C SOC1@46.562C CV2@-256C VDD_GPU_SOC 4801mW/4800mW VDD_CPU_CV 11600mW/11400mW VIN_SYS_5V0 4145mW/4246mW NC 0mW/0mW VDDQ_VDD2_1V8AO 707mW/808mW NC 0mW/0mW
03-30-2023 16:37:52 RAM 6035/30623MB (lfb 5836x4MB) SWAP 0/15311MB (cached 0MB) CPU [100%@2192,100%@2197,100%@2199,100%@2199,100%@2201,100%@2198,100%@2198,100%@2198,100%@2197,99%@2194,100%@2199,100%@2196] EMC_FREQ 2%@2133 GR3D_FREQ 0%@114 GR3D2_FREQ 0%@114 NVJPG1 729 VIC_FREQ 729 APE 233 CV0@-256C CPU@53.468C Tdiode@39.5C SOC2@48.125C SOC0@47.593C CV1@-256C GPU@45.968C SOC1@46.687C CV2@-256C VDD_GPU_SOC 4801mW/4800mW VDD_CPU_CV 12000mW/11454mW VIN_SYS_5V0 4651mW/4283mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1213mW/845mW NC 0mW/0mW
03-30-2023 16:37:58 RAM 4880/30623MB (lfb 6020x4MB) SWAP 0/15311MB (cached 0MB) CPU [100%@2198,100%@2197,100%@2191,100%@2198,100%@2198,100%@2223,100%@2070,100%@2187,100%@2197,99%@2196,100%@2199,100%@2190] EMC_FREQ 3%@2133 GR3D_FREQ 0%@114 GR3D2_FREQ 0%@114 NVJPG1 729 VIC_FREQ 729 APE 233 CV0@-256C CPU@53.781C Tdiode@39.5C SOC2@48.375C SOC0@47.656C CV1@-256C GPU@45.781C SOC1@46.656C CV2@-256C VDD_GPU_SOC 4801mW/4800mW VDD_CPU_CV 12400mW/11533mW VIN_SYS_5V0 4550mW/4305mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1011mW/858mW NC 0mW/0mW
03-30-2023 16:38:04 RAM 4797/30623MB (lfb 6020x4MB) SWAP 0/15311MB (cached 0MB) CPU [100%@2188,100%@2198,100%@2195,100%@2198,100%@2203,100%@2332,100%@2197,100%@2197,100%@2197,100%@2192,99%@2203,100%@2198] EMC_FREQ 0%@2133 GR3D_FREQ 0%@114 GR3D2_FREQ 0%@114 NVJPG1 729 VIC_FREQ 729 APE 233 CV0@-256C CPU@53.562C Tdiode@39.75C SOC2@48.468C SOC0@47.781C CV1@-256C GPU@45.968C SOC1@46.937C CV2@-256C VDD_GPU_SOC 4801mW/4800mW VDD_CPU_CV 11600mW/11538mW VIN_SYS_5V0 4145mW/4293mW NC 0mW/0mW VDDQ_VDD2_1V8AO 707mW/847mW NC 0mW/0mW
03-30-2023 16:38:10 RAM 4797/30623MB (lfb 6020x4MB) SWAP 0/15311MB (cached 0MB) CPU [100%@2195,100%@2195,100%@2198,100%@2198,100%@2134,100%@2198,100%@2266,100%@2197,100%@2198,100%@2215,100%@2197,100%@2198] EMC_FREQ 0%@2133 GR3D_FREQ 0%@114 GR3D2_FREQ 0%@114 NVJPG1 729 VIC_FREQ 729 APE 233 CV0@-256C CPU@53.781C Tdiode@39.75C SOC2@48.406C SOC0@47.843C CV1@-256C GPU@46.187C SOC1@47.031C CV2@-256C VDD_GPU_SOC 4800mW/4800mW VDD_CPU_CV 11600mW/11542mW VIN_SYS_5V0 4145mW/4282mW NC 0mW/0mW VDDQ_VDD2_1V8AO 707mW/837mW NC 0mW/0mW
03-30-2023 16:38:16 RAM 4797/30623MB (lfb 6020x4MB) SWAP 0/15311MB (cached 0MB) CPU [100%@2198,100%@2197,100%@2198,100%@2197,100%@2199,100%@2070,100%@2222,100%@2199,100%@2196,100%@2225,100%@2198,100%@2199] EMC_FREQ 0%@2133 GR3D_FREQ 0%@114 GR3D2_FREQ 0%@114 NVJPG1 729 VIC_FREQ 729 APE 233 CV0@-256C CPU@53.812C Tdiode@40C SOC2@48.625C SOC0@48C CV1@-256C GPU@46.093C SOC1@47.156C CV2@-256C VDD_GPU_SOC 4800mW/4800mW VDD_CPU_CV 11600mW/11546mW VIN_SYS_5V0 4145mW/4273mW NC 0mW/0mW VDDQ_VDD2_1V8AO 707mW/828mW NC 0mW/0mW
03-30-2023 16:38:22 RAM 4798/30623MB (lfb 6022x4MB) SWAP 0/15311MB (cached 0MB) CPU [100%@2196,100%@2197,100%@2197,100%@2194,100%@2199,100%@2198,100%@2197,100%@2197,100%@2198,100%@2197,100%@2200,100%@2198] EMC_FREQ 0%@2133 GR3D_FREQ 0%@114 GR3D2_FREQ 0%@114 NVJPG1 729 VIC_FREQ 729 APE 233 CV0@-256C CPU@54.187C Tdiode@40C SOC2@48.75C SOC0@48.093C CV1@-256C GPU@46.656C SOC1@47.218C CV2@-256C VDD_GPU_SOC 4800mW/4800mW VDD_CPU_CV 11600mW/11550mW VIN_SYS_5V0 4247mW/4271mW NC 0mW/0mW VDDQ_VDD2_1V8AO 808mW/827mW NC 0mW/0mW
03-30-2023 16:38:28 RAM 4798/30623MB (lfb 6023x4MB) SWAP 0/15311MB (cached 0MB) CPU [100%@2197,100%@2194,100%@2196,100%@2198,100%@2185,100%@2198,100%@2197,100%@2195,100%@2201,100%@2198,100%@2197,100%@2196] EMC_FREQ 0%@2133 GR3D_FREQ 0%@114 GR3D2_FREQ 0%@114 NVJPG1 729 VIC_FREQ 729 APE 233 CV0@-256C CPU@54.375C Tdiode@40.25C SOC2@48.718C SOC0@48.125C CV1@-256C GPU@46.25C SOC1@47.437C CV2@-256C VDD_GPU_SOC 4800mW/4800mW VDD_CPU_CV 11600mW/11552mW VIN_SYS_5V0 4145mW/4264mW NC 0mW/0mW VDDQ_VDD2_1V8AO 707mW/820mW NC 0mW/0mW
03-30-2023 16:38:34 RAM 4799/30623MB (lfb 6023x4MB) SWAP 0/15311MB (cached 0MB) CPU [100%@2198,100%@2198,100%@2198,100%@2197,100%@2198,100%@2196,100%@2190,100%@2375,100%@2213,100%@2198,100%@2249,100%@2199] EMC_FREQ 0%@2133 GR3D_FREQ 0%@114 GR3D2_FREQ 0%@114 NVJPG1 729 VIC_FREQ 729 APE 233 CV0@-256C CPU@54.281C Tdiode@40.25C SOC2@48.843C SOC0@48.375C CV1@-256C GPU@46.437C SOC1@47.531C CV2@-256C VDD_GPU_SOC 4800mW/4800mW VDD_CPU_CV 11600mW/11555mW VIN_SYS_5V0 4145mW/4257mW NC 0mW/0mW VDDQ_VDD2_1V8AO 707mW/813mW NC 0mW/0mW
03-30-2023 16:38:40 RAM 4799/30623MB (lfb 6024x4MB) SWAP 0/15311MB (cached 0MB) CPU [100%@2197,100%@2197,100%@2197,100%@2197,100%@2197,100%@2176,100%@2185,100%@2196,100%@2198,100%@2199,100%@2198,100%@2198] EMC_FREQ 0%@2133 GR3D_FREQ 0%@114 GR3D2_FREQ 0%@114 NVJPG1 729 VIC_FREQ 729 APE 233 CV0@-256C CPU@54.187C Tdiode@40.5C SOC2@48.968C SOC0@48.468C CV1@-256C GPU@46.718C SOC1@47.593C CV2@-256C VDD_GPU_SOC 4800mW/4800mW VDD_CPU_CV 11600mW/11557mW VIN_SYS_5V0 4145mW/4251mW NC 0mW/0mW VDDQ_VDD2_1V8AO 707mW/808mW NC 0mW/0mW
03-30-2023 16:38:46 RAM 4799/30623MB (lfb 6024x4MB) SWAP 0/15311MB (cached 0MB) CPU [100%@2196,100%@2191,100%@2197,100%@2192,100%@2180,100%@2198,100%@2197,100%@2198,100%@2199,100%@2198,100%@2101,100%@2197] EMC_FREQ 0%@2133 GR3D_FREQ 0%@114 GR3D2_FREQ 0%@114 NVJPG1 729 VIC_FREQ 729 APE 233 CV0@-256C CPU@54.5C Tdiode@40.5C SOC2@49.031C SOC0@48.437C CV1@-256C GPU@46.625C SOC1@47.75C CV2@-256C VDD_GPU_SOC 4800mW/4800mW VDD_CPU_CV 11600mW/11560mW VIN_SYS_5V0 4145mW/4246mW NC 0mW/0mW VDDQ_VDD2_1V8AO 707mW/803mW NC 0mW/0mW
03-30-2023 16:38:52 RAM 4800/30623MB (lfb 6024x4MB) SWAP 0/15311MB (cached 0MB) CPU [100%@2195,100%@2197,100%@2198,100%@2198,100%@2197,100%@2386,100%@2198,100%@2197,99%@2197,100%@2197,100%@2197,100%@2197] EMC_FREQ 0%@2133 GR3D_FREQ 0%@114 GR3D2_FREQ 0%@114 NVJPG1 729 VIC_FREQ 729 APE 233 CV0@-256C CPU@54.343C Tdiode@40.5C SOC2@49.125C SOC0@48.593C CV1@-256C GPU@46.781C SOC1@47.718C CV2@-256C VDD_GPU_SOC 4800mW/4800mW VDD_CPU_CV 11600mW/11561mW VIN_SYS_5V0 4145mW/4241mW NC 0mW/0mW VDDQ_VDD2_1V8AO 707mW/798mW NC 0mW/0mW
03-30-2023 16:38:58 RAM 4803/30623MB (lfb 6024x4MB) SWAP 0/15311MB (cached 0MB) CPU [100%@2198,100%@2198,100%@2194,100%@2199,100%@2223,100%@2243,100%@2197,100%@2198,99%@2198,100%@2207,100%@2198,100%@2197] EMC_FREQ 0%@2133 GR3D_FREQ 0%@114 GR3D2_FREQ 0%@114 NVJPG1 729 VIC_FREQ 729 APE 233 CV0@-256C CPU@54.625C Tdiode@40.5C SOC2@49.281C SOC0@48.687C CV1@-256C GPU@46.625C SOC1@47.656C CV2@-256C VDD_GPU_SOC 4800mW/4800mW VDD_CPU_CV 11600mW/11563mW VIN_SYS_5V0 4145mW/4237mW NC 0mW/0mW VDDQ_VDD2_1V8AO 707mW/794mW NC 0mW/0mW
03-30-2023 16:39:04 RAM 4804/30623MB (lfb 6024x4MB) SWAP 0/15311MB (cached 0MB) CPU [100%@2198,100%@2197,100%@2196,100%@2198,100%@2272,100%@2165,100%@2198,100%@2197,100%@2162,100%@2195,100%@2197,100%@2196] EMC_FREQ 0%@2133 GR3D_FREQ 0%@114 GR3D2_FREQ 0%@114 NVJPG1 729 VIC_FREQ 729 APE 233 CV0@-256C CPU@54.437C Tdiode@40.75C SOC2@49.281C SOC0@48.843C CV1@-256C GPU@46.906C SOC1@47.75C CV2@-256C VDD_GPU_SOC 4800mW/4800mW VDD_CPU_CV 11600mW/11565mW VIN_SYS_5V0 4145mW/4233mW NC 0mW/0mW VDDQ_VDD2_1V8AO 707mW/790mW NC 0mW/0mW
03-30-2023 16:39:10 RAM 4807/30623MB (lfb 6024x4MB) SWAP 0/15311MB (cached 0MB) CPU [100%@2197,100%@2196,100%@2196,100%@2198,100%@2197,100%@2204,100%@2198,100%@2012,100%@2208,100%@2295,100%@2197,100%@2196] EMC_FREQ 0%@2133 GR3D_FREQ 0%@114 GR3D2_FREQ 0%@114 NVJPG1 729 VIC_FREQ 729 APE 233 CV0@-256C CPU@55.062C Tdiode@40.75C SOC2@49.406C SOC0@48.593C CV1@-256C GPU@46.875C SOC1@47.781C CV2@-256C VDD_GPU_SOC 4801mW/4800mW VDD_CPU_CV 11600mW/11566mW VIN_SYS_5V0 4145mW/4229mW NC 0mW/0mW VDDQ_VDD2_1V8AO 707mW/787mW NC 0mW/0mW
03-30-2023 16:39:16 RAM 4840/30623MB (lfb 6024x4MB) SWAP 0/15311MB (cached 0MB) CPU [100%@2197,100%@2196,100%@2197,100%@2197,100%@2197,100%@2197,100%@2197,100%@2198,100%@2195,100%@2198,100%@2197,100%@2198] EMC_FREQ 0%@2133 GR3D_FREQ 0%@114 GR3D2_FREQ 0%@114 NVJPG1 729 VIC_FREQ 729 APE 233 CV0@-256C CPU@54.656C Tdiode@40.75C SOC2@49.5C SOC0@48.718C CV1@-256C GPU@46.812C SOC1@47.875C CV2@-256C VDD_GPU_SOC 4800mW/4800mW VDD_CPU_CV 11600mW/11568mW VIN_SYS_5V0 4247mW/4230mW NC 0mW/0mW VDDQ_VDD2_1V8AO 707mW/783mW NC 0mW/0mW
